ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto,ID do Cliente,Nome do Cliente,Email do Cliente,Telefone do Cliente
4,Jessica Medhurst,443-237-1645,32,Luxurious Fresh Mouse,540.00,6493,6,Enrique Labadie,Kristoffer.Haley@hotmail.com,800-896-2714
4,Jessica Medhurst,443-237-1645,33,Small Metal Shoes,187.00,997,6,Enrique Labadie,Kristoffer.Haley@hotmail.com,800-896-2714
4,Jessica Medhurst,443-237-1645,34,Incredible Plastic Sausages,848.00,3839,6,Enrique Labadie,Kristoffer.Haley@hotmail.com,800-896-2714
4,Jessica Medhurst,443-237-1645,35,Incredible Soft Ball,757.00,1454,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,36,Oriental Frozen Computer,590.00,139,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,37,Elegant Granite Bacon,84.00,302,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,38,Sleek Bronze Salad,645.00,7439,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,39,Generic Granite Hat,984.00,84134,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,40,Modern Wooden Hat,998.00,76790,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,41,Recycled Granite Gloves,620.00,014,7,Della Tillman,Dulce18@hotmail.com,1-334-817-7722
4,Jessica Medhurst,443-237-1645,42,Modern Soft Sausages,186.00,792,8,Eleanor Kirlin,Ona_Witting@hotmail.com,881-346-6755
