ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto,ID do Cliente,Nome do Cliente,Email do Cliente,Telefone do Cliente
5,Ralph Bartoletti,422-217-1130,43,Practical Granite Fish,250.00,96790,8,Eleanor Kirlin,Ona_Witting@hotmail.com,881-346-6755
5,Ralph Bartoletti,422-217-1130,44,Bespoke Steel Bike,939.00,0438,8,Eleanor Kirlin,Ona_Witting@hotmail.com,881-346-6755
5,Ralph Bartoletti,422-217-1130,45,Elegant Steel Bacon,139.00,155,8,Eleanor Kirlin,Ona_Witting@hotmail.com,881-346-6755
5,Ralph Bartoletti,422-217-1130,46,Fantastic Wooden Keyboard,579.00,6386,8,Eleanor Kirlin,Ona_Witting@hotmail.com,881-346-6755
5,Ralph Bartoletti,422-217-1130,47,Electronic Frozen Tuna,247.00,4152,8,Eleanor Kirlin,Ona_Witting@hotmail.com,881-346-6755
5,Ralph Bartoletti,422-217-1130,48,Incredible Steel Bike,159.00,8102,9,Jenna Kerluke,Tara_Schinner@gmail.com,(280) 837-6504
5,Ralph Bartoletti,422-217-1130,49,Handcrafted Wooden Chicken,548.00,75342,9,Jenna Kerluke,Tara_Schinner@gmail.com,(280) 837-6504
5,Ralph Bartoletti,422-217-1130,50,Incredible Soft Chicken,177.00,65672,9,Jenna Kerluke,Tara_Schinner@gmail.com,(280) 837-6504
5,Ralph Bartoletti,422-217-1130,51,Unbranded Frozen Chair,302.00,88180,9,Jenna Kerluke,Tara_Schinner@gmail.com,(280) 837-6504
5,Ralph Bartoletti,422-217-1130,52,Oriental Cotton Bike,21.00,461,10,Dr. Myra Thiel,Heber.Goodwin@yahoo.com,693-367-1658
5,Ralph Bartoletti,422-217-1130,53,Bespoke Steel Soap,23.00,31037,10,Dr. Myra Thiel,Heber.Goodwin@yahoo.com,693-367-1658
