ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto,ID do Cliente,Nome do Cliente,Email do Cliente,Telefone do Cliente
1,Katie McDermott,406-471-8338,1,Recycled Steel Computer,64.00,2188,1,Zachary Carroll,Elizabeth_DAmore85@gmail.com,604.851.6596
1,Katie McDermott,406-471-8338,2,Elegant Wooden Chips,447.00,516,1,Zachary Carroll,Elizabeth_DAmore85@gmail.com,604.851.6596
1,Katie McDermott,406-471-8338,3,Gorgeous Cotton Chair,893.00,2779,1,Zachary Carroll,Elizabeth_DAmore85@gmail.com,604.851.6596
1,Katie McDermott,406-471-8338,4,Small Fresh Chicken,884.00,8120,1,Zachary Carroll,Elizabeth_DAmore85@gmail.com,604.851.6596
1,Katie McDermott,406-471-8338,5,Practical Soft Pants,711.00,446,1,Zachary Carroll,Elizabeth_DAmore85@gmail.com,604.851.6596
1,Katie McDermott,406-471-8338,6,Incredible Frozen Ball,247.00,433,2,Barbara Heathcote,Geoffrey_Pagac@hotmail.com,1-320-966-5078
1,Katie McDermott,406-471-8338,7,Fantastic Metal Shirt,673.00,1383,2,Barbara Heathcote,Geoffrey_Pagac@hotmail.com,1-320-966-5078
1,Katie McDermott,406-471-8338,8,Sleek Plastic Sausages,384.00,8950,2,Barbara Heathcote,Geoffrey_Pagac@hotmail.com,1-320-966-5078
1,Katie McDermott,406-471-8338,9,Refined Bronze Table,886.00,80930,2,Barbara Heathcote,Geoffrey_Pagac@hotmail.com,1-320-966-5078
1,Katie McDermott,406-471-8338,10,Handmade Granite Soap,240.00,0000,2,Barbara Heathcote,Geoffrey_Pagac@hotmail.com,1-320-966-5078
1,Katie McDermott,406-471-8338,11,Electronic Metal Pizza,351.00,7238,3,Teresa O'Reilly,Godfrey.Ward25@yahoo.com,(614) 446-6587
